"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.104","192.168.0.105","TCP","54","80  >  55821 [FIN, ACK] Seq=1 Ack=1 Win=65177 Len=0"
"2","0.438395","192.168.0.104","224.0.0.251","MDNS","91","Standard query response 0x0000 A, cache flush 192.168.56.1"
"3","0.719678","fe80::a160:a73d:f540:b055","ff02::fb","MDNS","123","Standard query response 0x0000 AAAA, cache flush fe80::f8da:caaa:890a:2905"
"4","0.781510","192.168.0.104","192.168.0.105","TCP","62","80  >  59885 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"5","2.555076","192.168.0.105","192.168.0.104","TCP","62","59885  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"6","2.578714","192.168.0.104","224.0.0.251","MDNS","93","Standard query response 0x0000 A, cache flush 192.168.0.104"
"7","2.672198","fe80::a160:a73d:f540:b055","ff02::fb","MDNS","125","Standard query response 0x0000 AAAA, cache flush fe80::a160:a73d:f540:b055"
"8","2.745757","192.168.0.105","192.168.0.104","TCP","54","55821  >  80 [FIN, ACK] Seq=0 Ack=1 Win=1861 Len=0"
"9","2.745829","192.168.0.104","192.168.0.105","TCP","54","[TCP Dup ACK 1#1] 80  >  55821 [ACK] Seq=2 Ack=1 Win=65177 Len=0"
"10","2.886253","192.168.0.105","192.168.0.104","TCP","54","[TCP Dup ACK 8#1] 55821  >  80 [ACK] Seq=1 Ack=1 Win=1861 Len=0"
"11","2.922501","192.168.0.105","192.168.0.104","TCP","54","[TCP Dup ACK 8#2] 55821  >  80 [ACK] Seq=1 Ack=1 Win=1861 Len=0"
"12","3.176097","192.168.0.105","192.168.0.104","TCP","54","[TCP ACKed unseen segment] 59885  >  80 [RST, ACK] Seq=1 Ack=1964125778 Win=24584 Len=0"
"13","3.297222","192.168.0.105","192.168.0.104","TCP","62","58826  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"14","3.297398","192.168.0.104","192.168.0.105","TCP","62","80  >  58826 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"15","3.301466","192.168.0.105","192.168.0.104","TCP","54","[TCP Dup ACK 8#3] 55821  >  80 [ACK] Seq=1 Ack=1 Win=1861 Len=0"
"16","3.301548","192.168.0.104","192.168.0.105","TCP","54","[TCP Fast Retransmission] 80  >  55821 [FIN, ACK] Seq=1 Ack=1 Win=65177 Len=0"
"17","3.344277","192.168.0.105","192.168.0.104","TCP","54","55821  >  80 [ACK] Seq=1 Ack=2 Win=1860 Len=0"
